EMPLOYEE_CODE,FIRST_NAME,FIRST_NAME_MB,LAST_NAME,LAST_NAME_MB,DATE_HIRED,TERMINATION_DATE,TERMINATION_CODE,BIRTH_DATE,GENDER_CODE,WORK_PHONE,EXTENSION,FAX,EMAIL,SSN,COMMUTE_TIME
10090,Dave,Dave,Smythe,Smythe,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(61) 03 2982  4242,8909,'+(61) 03 2982  4243,DSmythe@grtd123.com,180-57-2690,31
10091,Donald,Donald,Ward,Ward,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(61) 03 2982  4242,8908,'+(61) 03 2982  4243,DWard@grtd123.com,786-76-4068,19
10092,Jake,Jake,Cartel,Cartel,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(61) 03 2982  4242,8907,'+(61) 03 2982  4243,JCartel@grtd123.com,599-38-2742,20
10093,John,John,Sinden,Sinden,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(61) 03 2982  4242,8906,'+(61) 03 2982  4243,JSinden@grtd123.com,248-47-7337,33
10094,Yolanda,Yolanda,Torres,Torres,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+35 94 322 3540,7905,'+35 91 548 1637,YTorres@grtd123.com,724-34-7657,8
10122,Joseph,Joseph,Chouteau,Chouteau,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+32 16 20.73.21,3877,'+32 16 20.73.32,JChouteau@grtd123.com,567-99-4638,27
10123,Willi,Willi,Seefelder,Seefelder,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(43) 13 79 56 32,7876,'+(43) 13 79 56 33,WSeefelder@grtd123.com,476-03-1662,23
10124,Sabine,Sabine,Grüner,Grüner,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(43) 13 79 56 32,7875,'+(43) 13 79 56 33,SGruner@grtd123.com,823-07-9566,14
10125,Laura,Laura,Bauer,Bauer,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,1 (403) 232-5986,2874,1 (403) 232-5831,LBauer@grtd123.com,051-63-1515,13
10126,Dagmar,Dagmar,Samuelsen,Samuelsen,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (403) 232-5986,2873,1 (403) 232-5831,DSamuelsen@grtd123.com,110-63-0476,6
10127,Cirineo,Cirineo,Sanchez,Sanchez,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (305) 557-4810,2872,1 (305) 557-7650,CSanchez@grtd123.com,261-41-6016,26
10128,Gepetto,Gepetto,Perez,Perez,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(525) 549 6090,2871,'+(52) 549 6088,GPerez@grtd123.com,373-65-3719,26
10129,Pascal,Pascal,Lanuit,Lanuit,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (403) 232-5986,2870,1 (403) 232-5831,PLanuit@grtd123.com,844-33-1298,23
10130,Aron,Aron,Adelsvärd,Adelsvärd,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(46) 08 753 116,6869,'+(46) 08 752 592,AAdelsvard@grtd123.com,366-50-0852,44
10158,Johann,Johann,Wagner,Wagner,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(41) 17 12 13 14,3841,'+(41) 17 12 13 20,JWagner@grtd123.com,078-19-7111,34
10159,Isaac,Isaac,Brule,Brule,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(41) 17 12 13 14,3840,'+(41) 17 12 13 20,IBrule@grtd123.com,367-28-6576,22
10160,Jacques,Jacques,Burel,Burel,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+32 16 20.73.21,3839,'+32 16 20.73.32,JBurel@grtd123.com,246-66-9708,17
10161,Yvette,Yvette,Lattrez,Lattrez,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 14,3838,'+(41) 17 12 13 20,YLattrez@grtd123.com,876-94-2945,9
10162,Jules,Jules,Dauphin,Dauphin,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+33 1 68 94 52 20,3837,'+33 1 68 94 56 60,JDauphin@grtd123.com,713-73-1770,26
10163,Friedrich,Friedrich,Bauer,Bauer,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(41) 17 12 13 14,3836,'+(41) 17 12 13 20,FBauer@grtd123.com,301-85-3354,32
10164,Michel,Michel,Labasilier,Labasilier,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+33 4 52 26 33 88,3835,'+33 4 66 35 98 95,MLabasilier@grtd123.com,519-32-3920,26
10165,Georg,Georg,Schmuker,Schmuker,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(49) 40 663 1990,3834,'+(49) 40 663 4571,GSchmuker@grtd123.com,732-76-0981,15
10166,Stefano,Stefano,Bruno,Bruno,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(39) 02 79 53 780,7833,'+(39) 02 79 53 477,SBruno@grtd123.com,241-62-5326,22
10185,Rupert,Rupert,Rossi,Rossi,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(39) 02 79 53 780,7814,'+(39) 02 79 53 477,RRossi@grtd123.com,480-27-1411,6
10186,Salvatore,Salvatore,Russo,Russo,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(39) 02 79 53 780,7813,'+(39) 02 79 53 477,SRusso@grtd123.com,043-12-3984,13
10286,Maria,Maria,Schmidt,Schmidt,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(49) 89 882 3456,3713,'+(49) 89 882 3455,MSchmidt@grtd123.com,659-53-6709,7
10287,Anouk,Anouk,Petit,Petit,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 14,3712,'+(41) 17 12 13 20,APetit@grtd123.com,021-34-7032,32
10288,Brigitte,Brigitte,Durand,Durand,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+33 1 68 94 52 20,3711,'+33 1 68 94 56 60,BDurand@grtd123.com,177-62-4792,42
10289,Konrad,Konrad,Kramer,Kramer,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(43) 13 79 56 32,7710,'+(43) 13 79 56 33,KKramer@grtd123.com,849-76-4462,31
10290,Sidonia,Sidonia,Marino,Marino,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(39) 02 79 53 780,7709,'+(39) 02 79 53 477,SMarino@grtd123.com,206-37-8208,29
10291,Isabel,Isabel,Torres,Torres,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+35 94 322 3540,7708,'+35 91 548 1637,ITorres@grtd123.com,846-88-8115,18
10328,Baltje,Baltje,Cloet,Cloet,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 11,9671,'+(41) 17 12 61 82,BCloet@grtd123.com,277-84-0738,18
10329,Armando,Armando,Fusillo,Fusillo,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 11,9670,'+(41) 17 12 61 82,AFusillo@grtd123.com,116-55-2162,27
10330,Bianca,Bianca,Agostini,Agostini,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 11,9669,'+(41) 17 12 61 82,BAgostini@grtd123.com,076-53-9029,9
10331,Belinda,Belinda,Vento,Vento,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 11,9668,'+(41) 17 12 61 82,BVento@grtd123.com,581-01-2587,28
10332,Caterina,Caterina,Pera,Pera,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 11,9667,'+(41) 17 12 61 82,CPera@grtd123.com,893-91-7146,16
10333,Sarah,Sarah,Muller,Muller,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 11,9666,'+(41) 17 12 61 82,SMuller@grtd123.com,869-41-8909,6
10334,Julia,Julia,Rader,Rader,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 11,9665,'+(41) 17 12 61 82,JRader@grtd123.com,313-04-5480,31
10335,Brigitte,Brigitte,Zumwald,Zumwald,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 11,9664,'+(41) 17 12 61 82,BZumwald@grtd123.com,023-79-2315,21
10336,Anja,Anja,Albrecht,Albrecht,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 11,9663,'+(41) 17 12 61 82,AAlbrecht@grtd123.com,061-30-4037,7
10373,Ming,Ming,Li,李,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (403) 232-5986,2626,1 (403) 232-5831,MLi@grtd123.com,592-16-5138,7
10374,David,David,Piper,Piper,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (403) 232-5986,2625,1 (403) 232-5831,DPiper@grtd123.com,193-34-1295,31
10375,Lloyd,Lloyd,Pino,Pino,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (403) 232-5986,2624,1 (403) 232-5831,LPino@grtd123.com,491-25-7425,7
10376,Allen,Allen,Miller,Miller,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (403) 232-5986,2623,1 (403) 232-5831,AMiller@grtd123.com,631-71-3835,14
10458,Etienne,Etienne,Pujol,Pujol,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+32 16 20.73.21,3541,'+32 16 20.73.32,EPujol@grtd123.com,415-82-3345,32
10459,Gianni,Gianni,Vertemati,Vertemati,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(41) 17 12 13 14,3540,'+(41) 17 12 13 20,GVertemati@grtd123.com,482-50-0572,20
10460,Daniel,Daniel,Hart,Hart,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(44) 181 2033144,3539,'+(44) 181 5030282,DHart@grtd123.com,661-92-4215,23
10461,Barbara,Barbara,Samuelsen,Samuelsen,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(49) 89 882 3456,3538,'+(49) 89 882 3455,BSamuelsen@grtd123.com,200-06-1639,29
10526,Donald,Donald,Neely,Neely,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(61) 03 2982  4242,8473,'+(61) 03 2982  4243,DNeely@grtd123.com,497-96-9983,28
10527,Jackie,Jackie,Fulford,Fulford,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(61) 03 2982  4242,8472,'+(61) 03 2982  4243,JFulford@grtd123.com,369-47-1014,21
10528,Pamela,Pamela,Taylor,Taylor,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(61) 03 2982  4242,8471,'+(61) 03 2982  4243,PTaylor@grtd123.com,200-60-5943,7
10529,Thomas,托马斯,Black,布莱克,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,886-2-2975-1988,8470,886-2-2989-4978,TBlack@grtd123.com,555-76-8801,28
10530,Rebecca,Rebecca,Scott,Scott,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(61) 03 2982  4242,8469,'+(61) 03 2982  4243,RScott@grtd123.com,856-17-3150,25
10531,Keith,基思,Abbott,基思,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,886-2-2975-1988,8468,886-2-2989-4978,KAbbott@grtd123.com,488-33-9287,32
10532,Dean,Dean,Campbell,Campbell,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(61) 03 2982  4242,8467,'+(61) 03 2982  4243,DCampbell@grtd123.com,812-31-0562,18
10533,Ron,Ron,Dawkins,Dawkins,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(61) 03 2982  4242,8466,'+(61) 03 2982  4243,RDawkins@grtd123.com,192-36-3145,51
10534,Catherine,Catherine,Fowlie,Fowlie,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(61) 03 2982  4242,8465,'+(61) 03 2982  4243,CFowlie@grtd123.com,765-59-9191,25
10580,Daiki,大輝,Watanabe,渡辺,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,81-3-6259-6601,8419,81-3-6208-4445,DWatanabe@grtd123.com,181-34-8174,19
10581,Isamu,勇,Ito,伊藤,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,81-6-616-5656,8418,81-6-616-5657,IIto@grtd123.com,376-48-4473,8
10582,Haruka,遥,Sato,佐藤,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,81-6-616-5656,8417,81-6-616-5657,HSato@grtd123.com,257-13-1144,15
10583,Fumiko,文子,Saito,斎藤,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,81-6-616-5656,8416,81-6-616-5657,FSaito@grtd123.com,442-64-4583,24
10584,Chi-San,지산,Lee,李,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,82-2-778-6587,8415,82-2-778-6586,CLee@grtd123.com,572-49-7437,17
10585,Mal-Su,말수,Jung,정,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,82-2-778-6587,8414,82-2-778-6586,MJung@grtd123.com,237-97-3112,33
10586,Hye-Yul,혜율,Choi,최,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,82-2-778-6587,8413,82-2-778-6586,HChoi@grtd123.com,465-03-6005,32
10587,Kye-Song,계송,Cho,조,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,82-2-778-6587,8412,82-2-778-6586,KCho@grtd123.com,828-94-8339,28
10588,Chi-Mi,지미,Kim,김,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,82-2-778-6587,8411,82-2-778-6586,CKim1@grtd123.com,844-79-7854,27
10652,Saburo,三郎,Tanaka,田中,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,81-6-616-5656,8347,81-6-616-5657,STanaka@grtd123.com,452-38-0897,16
10653,Meifeng,美鳳,Toh,桌,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,886-2-2975-1988,8346,886-2-2989-4978,MToh@grtd123.com,249-66-5085,39
10654,Liling,麗玲,Guo,郭,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,86-21-6790-5612,8345,86-21-6790-5612,LGuo@grtd123.com,521-51-3264,20
10655,Hae-Un,해운,Son,손,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,82-2-778-6587,8344,82-2-778-6586,HSon@grtd123.com,189-72-8592,19
10656,Rachel,Rachel,Borrill,Borrill,00:00.0,00:00.0,154,00:00.0,1,'+(61) 03 2982  4242,8229,'+(61) 03 2982  4243,RBorrill@grtd123.com,477-21-1789,30
10657,Simon,Simon,Dunbar,Dunbar,00:00.0,00:00.0,154,00:00.0,0,'+(61) 03 2982  4242,8230,'+(61) 03 2982  4243,SDunbar@grtd123.com,381-16-5502,22
10658,Jayne,Jayne,Mender,Mender,00:00.0,00:00.0,152,00:00.0,1,'+(61) 03 2982  4242,8231,'+(61) 03 2982  4243,JMender@grtd123.com,559-69-7462,36
10659,Chiang,尚穆加姆,Shanmugam,尚穆加姆,00:00.0,00:00.0,152,00:00.0,0,886-2-2975-1988,8222,886-2-2989-4978,CShanmugam@grtd123.com,515-96-6771,39
10660,Suresh,威鲁,Veloo,威鲁,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,886-2-2975-1988,8223,886-2-2989-4978,SVeloo@grtd123.com,878-15-4998,20
10717,Vern,Vern,Ritchie,Ritchie,00:00.0,00:00.0,152,00:00.0,0,1 (310) 281-5722,2282,1 (310) 281-9087,VRitchie@grtd123.com,248-90-1096,37
10718,Kouji,康嗣,Fujita,藤田,00:00.0,00:00.0,152,00:00.0,0,81-3-6259-6601,8281,81-3-6208-4445,KFujita@grtd123.com,860-93-5818,8
10719,Aila,Aila,Forssell,Forssell,00:00.0,00:00.0,152,00:00.0,1,'+358(0)17 - 433 127,6280,'+358(0)17 - 433 129,AForssell@grtd123.com,820-44-9114,39
10720,Meifeng,美鳳,Liao,廖,00:00.0,00:00.0,158,00:00.0,1,886-2-2975-1988,8279,886-2-2989-4978,MLiao@grtd123.com,567-82-7922,15
10721,Stan,Stan,Gardiner,Gardiner,00:00.0,00:00.0,152,00:00.0,0,'+(44) 181 2033144,3278,'+(44) 181 5030282,SGardiner@grtd123.com,780-65-1666,19
10722,Hugues,Hugues,Kieran,Kieran,00:00.0,00:00.0,152,00:00.0,0,'+(44) 121 3505267,3277,'+(44) 121 3583843,HKieran@grtd123.com,880-99-5620,18
10723,Daniel,Daniel,Landen,Landen,00:00.0,00:00.0,152,00:00.0,0,'+(44) 121 3505267,3276,'+(44) 121 3583843,DLanden@grtd123.com,718-49-0262,7
10282,Marie,Marie,Richter,Richter,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 14,3717,'+(41) 17 12 13 20,MRichter@grtd123.com,134-50-9008,40
10301,Zola,Zola,Ricci,Ricci,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(39) 02 79 53 780,7698,'+(39) 02 79 53 477,ZRicci@grtd123.com,627-70-3478,17
10302,Ava,Ava,Anuschek,Anuschek,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(43) 13 79 56 32,7697,'+(43) 13 79 56 33,AAnuschek@grtd123.com,404-06-2831,24
10303,Flora,Flora,De Luca,De Luca,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(39) 02 79 53 780,7696,'+(39) 02 79 53 477,FDeLuca@grtd123.com,433-11-1278,10
10304,Arabela,Arabela,Ferrari,Ferrari,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(39) 02 79 53 780,7695,'+(39) 02 79 53 477,AFerrari@grtd123.com,761-19-5395,30
10305,Leonie,Leonie,Zumwald,Zumwald,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(43) 13 79 56 32,7694,'+(43) 13 79 56 33,LZumwald@grtd123.com,153-08-0168,22
10306,Ada,Ada,Morales,Morales,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+35 94 322 3540,7693,'+35 91 548 1637,AMorales@grtd123.com,395-66-7047,30
10307,Agatha,Agatha,Reyes,Reyes,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+35 94 322 3540,7692,'+35 91 548 1637,AReyes@grtd123.com,656-56-2532,19
10308,Adriana,Adriana,Iacobucci,Iacobucci,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 11,9691,'+(41) 17 12 61 82,AIacobucci@grtd123.com,489-98-3957,31
10309,Diane,Diane,Simon,Simon,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 11,9690,'+(41) 17 12 61 82,DSimon@grtd123.com,836-86-2183,36
10364,Scott,Scott,Brown,Brown,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (403) 232-5986,2635,1 (403) 232-5831,SBrown@grtd123.com,065-55-0757,18
10365,Dennis,Dennis,Bergman,Bergman,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (403) 232-5986,2634,1 (403) 232-5831,DBergman@grtd123.com,280-56-0056,35
10366,Dale,Dale,Thomas,Thomas,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (403) 232-5986,2633,1 (403) 232-5831,DThomas@grtd123.com,688-80-8096,21
10367,Diane,Diane,Peterson,Peterson,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,1 (403) 232-5986,2632,1 (403) 232-5831,DPeterson@grtd123.com,585-14-4296,30
10368,Maria,Maria,Boscolo,Boscolo,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,1 (403) 232-5986,2631,1 (403) 232-5831,MBoscolo@grtd123.com,006-05-8645,9
10369,Antonio,Antonio,Casares,Casares,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(525) 549 6090,2630,'+(52) 549 6088,ACasares@grtd123.com,057-65-8953,27
10370,Gordon,Gordon,Smith,Smith,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (403) 232-5986,2629,1 (403) 232-5831,GSmith@grtd123.com,035-02-6981,12
10371,Paula,Paula,Kane,Kane,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,1 (403) 232-5986,2628,1 (403) 232-5831,PKane@grtd123.com,721-36-9380,18
10372,John,John,Long,Long,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (403) 232-5986,2627,1 (403) 232-5831,JLong@grtd123.com,436-31-2506,9
10700,Amaury,Amaury,Moreau,Moreau,00:00.0,00:00.0,152,00:00.0,0,'+(41) 17 12 13 11,9299,'+(41) 17 12 61 82,AMoreau@grtd123.com,185-43-2532,59
10701,Gretchen,Gretchen,Goetschy,Goetschy,00:00.0,00:00.0,158,00:00.0,1,'+(49) 89 882 3456,3298,'+(49) 89 882 3455,GGoetschy@grtd123.com,453-27-0934,34
10702,Rolf,Rolf,Erler,Erler,00:00.0,00:00.0,158,00:00.0,0,'+(41) 17 12 13 11,9297,'+(41) 17 12 61 82,RErler@grtd123.com,151-80-3381,28
10029,Irene,Irene,Engelbrektsson,Engelbrektsson,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(46) 08 753 116,6970,'+(46) 08 752 592,IEngelbrektsson@grtd123.com,133-22-0255,13
10030,Karin,Karin,Bergström,Bergström,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(46) 08 753 116,6969,'+(46) 08 752 592,KBergstrom@grtd123.com,465-22-4111,31
10043,Martine,Martine,Vachon,Vachon,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,1 (403) 232-5986,2956,1 (403) 232-5831,MVachon@grtd123.com,294-60-7543,6
10044,Harold,Harold,Townsend,Townsend,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,1 (403) 232-5986,2955,1 (403) 232-5831,HTownsend@grtd123.com,112-33-4406,17
10045,Sally,Sally,White,White,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,1 (403) 232-5986,2954,1 (403) 232-5831,SWhite@grtd123.com,103-80-2398,32
10046,Sherry,Sherry,Rowland,Rowland,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,1 (403) 232-5986,2953,1 (403) 232-5831,SRowland@grtd123.com,296-60-1625,35
10056,Rhonda,Rhonda,Cummings,Cummings,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,1 (617) 268-6754,2943,1 (617) 268-3464,RCummings@grtd123.com,592-67-6194,22
10214,Denys,Denys,Brinkerhoff,Brinkerhoff,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(41) 17 12 13 11,9785,'+(41) 17 12 61 82,DBrinkerhoff@grtd123.com,618-82-4263,26
10215,Antje,Antje,Schwarz,Schwarz,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(41) 17 12 13 11,9784,'+(41) 17 12 61 82,ASchwarz@grtd123.com,271-26-7970,26
10216,Tim,Tim,Kessler,Kessler,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(41) 17 12 13 11,9783,'+(41) 17 12 61 82,TKessler@grtd123.com,405-76-9996,21
10217,David,David,Kunstler,Kunstler,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(41) 17 12 13 11,9782,'+(41) 17 12 61 82,DKunstler@grtd123.com,137-99-1506,28
10218,Jan,Jan,Reiter,Reiter,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(41) 17 12 13 11,9781,'+(41) 17 12 61 82,JReiter@grtd123.com,551-83-2359,35
10219,Alfonso,Alfonso,Mörike,Mörike,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(41) 17 12 13 11,9780,'+(41) 17 12 61 82,AMorike@grtd123.com,862-40-2060,15
10256,Nuria,Nuria,Vega,Vega,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(525) 549 6090,2743,'+(52) 549 6088,NVega@grtd123.com,781-17-1824,27
10257,Eva,Eva,Delgado,Delgado,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(525) 549 6090,2742,'+(52) 549 6088,EDelgado@grtd123.com,485-05-0311,20
10258,Anna,Anna,Valdez,Valdez,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(525) 549 6090,2741,'+(52) 549 6088,AValdez@grtd123.com,778-79-0978,9
10259,Kerstin,Kerstin,Lagerskiöld,Lagerskiöld,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(46) 08 753 116,6740,'+(46) 08 752 592,KLagerskiold@grtd123.com,468-99-1452,9
